                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78907,                0.51472,                 1.1006,                0.99862,                      1,                  0.995,                0.92072,                0.42529,                 0.3086,                 1.0135,               0.001538,               0.001538,               0.001538
                     37,                0.77837,                0.49741,                 1.1005,                0.99863,                      1,                  0.995,                0.91277,                0.45644,                0.33289,                 1.0459,              0.0015248,              0.0015248,              0.0015248
                     38,                0.75385,                0.48321,                 1.0979,                0.99852,                      1,                  0.995,                0.90529,                0.40589,                0.32467,                 1.0003,              0.0015116,              0.0015116,              0.0015116
                     39,                0.77398,                0.51022,                 1.1025,                0.99868,                      1,                  0.995,                0.91032,                0.42445,                0.31929,                 1.0154,              0.0014984,              0.0014984,              0.0014984
                     40,                0.86786,                0.69267,                  1.113,                0.99863,                      1,                  0.995,                0.88531,                0.52233,                0.31928,                 1.0868,              0.0014852,              0.0014852,              0.0014852
                     41,                0.76252,                0.47932,                 1.1014,                 0.9981,                      1,                  0.995,                0.91444,                0.37969,                0.28323,                0.98317,               0.001472,               0.001472,               0.001472
                     42,                 0.8433,                0.52043,                 1.1638,                0.99843,                      1,                  0.995,                0.91268,                0.48103,                0.31328,                 1.0549,              0.0014588,              0.0014588,              0.0014588
                     43,                0.75713,                0.55278,                 1.1033,                0.99866,                      1,                  0.995,                0.86856,                0.51968,                0.29314,                 1.0846,              0.0014456,              0.0014456,              0.0014456
                     44,                0.77601,                0.48447,                 1.1176,                0.99857,                      1,                  0.995,                0.87549,                0.54766,                0.33838,                 1.1188,              0.0014324,              0.0014324,              0.0014324
                     45,                 0.8199,                0.52513,                   1.22,                0.99851,                      1,                  0.995,                0.88228,                0.46175,                 0.3202,                 1.0492,              0.0014192,              0.0014192,              0.0014192
                     46,                0.71901,                0.45761,                 1.0787,                0.99851,                      1,                  0.995,                0.90736,                0.45421,                0.33054,                 1.0478,               0.001406,               0.001406,               0.001406
                     47,                0.72087,                0.46548,                 1.0871,                0.99854,                      1,                  0.995,                0.88714,                0.45411,                0.33596,                  1.035,              0.0013928,              0.0013928,              0.0013928
                     48,                 0.7001,                0.44536,                 1.0772,                0.99862,                      1,                  0.995,                0.91949,                0.42674,                0.29575,                 1.0062,              0.0013796,              0.0013796,              0.0013796
                     49,                0.72181,                0.44093,                 1.0815,                0.99861,                      1,                  0.995,                0.88604,                0.46091,                  0.298,                  1.021,              0.0013664,              0.0013664,              0.0013664
                     50,                0.67573,                 0.4298,                 1.0619,                0.99851,                      1,                  0.995,                0.88676,                 0.5058,                0.29959,                 1.0564,              0.0013532,              0.0013532,              0.0013532
                     51,                0.67709,                 0.4356,                 1.0581,                0.99844,                      1,                  0.995,                0.87339,                0.55539,                0.37149,                 1.1109,                0.00134,                0.00134,                0.00134
                     52,                  0.788,                0.74779,                 1.1322,                0.99859,                      1,                  0.995,                0.90226,                0.45897,                0.30904,                 1.0475,              0.0013268,              0.0013268,              0.0013268
                     53,                0.67041,                 0.4325,                 1.0534,                0.99863,                      1,                  0.995,                0.90202,                0.49037,                0.30774,                 1.0818,              0.0013136,              0.0013136,              0.0013136
                     54,                 0.6666,                0.42971,                 1.0379,                0.99864,                      1,                  0.995,                0.89514,                0.43938,                0.26555,                 1.0137,              0.0013004,              0.0013004,              0.0013004
                     55,                0.70768,                0.46944,                 1.0643,                 0.9986,                      1,                  0.995,                0.88028,                0.49128,                0.30144,                 1.0622,              0.0012872,              0.0012872,              0.0012872
                     56,                0.72542,                0.43138,                 1.0906,                0.99863,                      1,                  0.995,                0.87469,                0.49392,                0.27253,                 1.0709,               0.001274,               0.001274,               0.001274
                     57,                0.69616,                0.43726,                 1.0409,                0.99853,                      1,                  0.995,                0.87704,                0.48695,                0.26776,                 1.0596,              0.0012608,              0.0012608,              0.0012608
                     58,                0.71235,                 0.4323,                 1.0929,                0.99857,                      1,                  0.995,                0.89644,                0.47646,                0.27565,                 1.0807,              0.0012476,              0.0012476,              0.0012476
                     59,                0.69287,                0.41846,                 1.0546,                0.99861,                      1,                  0.995,                0.89843,                0.42394,                0.26594,                  1.031,              0.0012344,              0.0012344,              0.0012344
                     60,                0.68624,                0.41938,                 1.0673,                0.99857,                      1,                  0.995,                0.91219,                 0.4095,                  0.284,                 1.0052,              0.0012212,              0.0012212,              0.0012212
                     61,                0.73864,                0.49087,                 1.0656,                 0.9986,                      1,                  0.995,                0.90389,                 0.4509,                0.27454,                 1.0218,               0.001208,               0.001208,               0.001208
                     62,                0.69693,                0.41042,                 1.0378,                0.99862,                      1,                  0.995,                0.88951,                0.50708,                0.28904,                 1.0719,              0.0011948,              0.0011948,              0.0011948
                     63,                0.65457,                0.38531,                   1.04,                0.99865,                      1,                  0.995,                0.89425,                  0.457,                0.28764,                 1.0383,              0.0011816,              0.0011816,              0.0011816
                     64,                0.63703,                0.42038,                 1.0361,                0.99848,                      1,                  0.995,                0.89504,                0.54296,                0.29387,                 1.1395,              0.0011684,              0.0011684,              0.0011684
                     65,                0.67716,                 0.4201,                 1.0443,                0.99851,                      1,                  0.995,                0.91752,                 0.4528,                 0.3081,                 1.0414,              0.0011552,              0.0011552,              0.0011552
                     66,                0.69577,                0.40831,                 1.0666,                0.99854,                      1,                  0.995,                0.90812,                0.42531,                0.26364,                 1.0003,               0.001142,               0.001142,               0.001142
                     67,                0.66278,                0.41816,                 1.0535,                0.99844,                      1,                  0.995,                0.82049,                0.69191,                0.39905,                 1.2722,              0.0011288,              0.0011288,              0.0011288
                     68,                0.67963,                  0.426,                 1.0743,                0.99857,                      1,                  0.995,                0.86793,                0.60143,                0.29522,                 1.1873,              0.0011156,              0.0011156,              0.0011156
                     69,                0.68898,                0.41854,                 1.0236,                0.99857,                      1,                  0.995,                0.89317,                0.47992,                0.27474,                 1.0686,              0.0011024,              0.0011024,              0.0011024
                     70,                0.59848,                0.38039,                0.99839,                0.99862,                      1,                  0.995,                0.89535,                0.49327,                0.28946,                 1.0789,              0.0010892,              0.0010892,              0.0010892
                     71,                0.65242,                0.39541,                  1.044,                0.99864,                      1,                  0.995,                0.90135,                0.47636,                0.29493,                 1.0656,               0.001076,               0.001076,               0.001076
                     72,                0.65721,                0.39507,                 1.0457,                0.99864,                      1,                  0.995,                0.92153,                0.40124,                0.26172,                0.99498,              0.0010628,              0.0010628,              0.0010628
                     73,                0.65067,                0.43414,                 1.0444,                0.99863,                      1,                  0.995,                0.92387,                0.40146,                0.27742,                0.98609,              0.0010496,              0.0010496,              0.0010496
                     74,                0.61776,                0.39489,                  1.014,                0.99866,                      1,                  0.995,                0.89682,                0.42503,                0.26096,                 1.0155,              0.0010364,              0.0010364,              0.0010364
                     75,                0.68503,                0.41789,                 1.0766,                0.99859,                      1,                  0.995,                0.90099,                0.46035,                0.25295,                 1.0383,              0.0010232,              0.0010232,              0.0010232
                     76,                0.67229,                0.40041,                 1.0428,                0.99862,                      1,                  0.995,                0.87927,                0.52676,                0.27388,                 1.1031,                0.00101,                0.00101,                0.00101
                     77,                0.62554,                   0.38,                   1.03,                0.99857,                      1,                  0.995,                0.88275,                0.46492,                0.26378,                 1.0445,              0.0009968,              0.0009968,              0.0009968
                     78,                0.61246,                0.36839,                 1.0294,                0.99858,                      1,                  0.995,                  0.909,                0.45993,                 0.2474,                 1.0334,              0.0009836,              0.0009836,              0.0009836
                     79,                0.64795,                0.39367,                 1.0506,                0.99856,                      1,                  0.995,                0.87345,                0.55602,                0.28806,                 1.0942,              0.0009704,              0.0009704,              0.0009704
                     80,                0.62583,                0.36624,                  1.035,                0.99857,                      1,                  0.995,                0.89603,                 0.5075,                0.26169,                 1.0572,              0.0009572,              0.0009572,              0.0009572
                     81,                0.60765,                0.38943,                0.99369,                0.99863,                      1,                  0.995,                0.91596,                0.41335,                0.24891,                 1.0313,               0.000944,               0.000944,               0.000944
                     82,                 0.5989,                0.36263,                0.99372,                0.99856,                      1,                  0.995,                0.92869,                 0.3809,                0.24602,                0.96483,              0.0009308,              0.0009308,              0.0009308
                     83,                0.59823,                0.36621,                 1.0174,                0.99861,                      1,                  0.995,                0.92177,                0.40581,                0.25819,                0.98486,              0.0009176,              0.0009176,              0.0009176
                     84,                0.60539,                0.35944,                  1.007,                 0.9986,                      1,                  0.995,                0.91223,                0.43219,                0.27374,                 1.0319,              0.0009044,              0.0009044,              0.0009044
                     85,                0.63286,                0.39854,                0.99365,                0.99859,                      1,                  0.995,                0.90336,                0.43519,                0.27992,                  1.036,              0.0008912,              0.0008912,              0.0008912
                     86,                0.62046,                0.39136,                 1.0099,                0.99862,                      1,                  0.995,                0.85109,                0.56867,                0.30386,                  1.173,               0.000878,               0.000878,               0.000878
                     87,                0.57829,                0.34732,                 1.0076,                0.99859,                      1,                  0.995,                0.92773,                0.42231,                0.26417,                 1.0224,              0.0008648,              0.0008648,              0.0008648
                     88,                0.61686,                0.36787,                 1.0389,                 0.9986,                      1,                  0.995,                0.90929,                0.42917,                0.24124,                 1.0096,              0.0008516,              0.0008516,              0.0008516
                     89,                0.64635,                0.37131,                 1.0265,                0.99861,                      1,                  0.995,                0.90663,                0.49234,                0.27181,                  1.066,              0.0008384,              0.0008384,              0.0008384
                     90,                0.62873,                0.36962,                  1.011,                0.99866,                      1,                  0.995,                0.91002,                0.44276,                0.27081,                 1.0337,              0.0008252,              0.0008252,              0.0008252
                     91,                0.61966,                 0.3552,                 1.0215,                0.99865,                      1,                  0.995,                 0.9115,                0.38557,                0.24401,                0.99075,               0.000812,               0.000812,               0.000812
                     92,                0.62185,                0.39756,                 1.1042,                0.99862,                      1,                  0.995,                0.90864,                 0.3972,                0.23871,                 1.0045,              0.0007988,              0.0007988,              0.0007988
                     93,                0.60868,                0.34794,                 0.9997,                0.99857,                      1,                  0.995,                0.89789,                0.49864,                0.27572,                 1.0572,              0.0007856,              0.0007856,              0.0007856
                     94,                0.63708,                 0.3786,                 1.0132,                0.99855,                      1,                  0.995,                0.90663,                0.47527,                0.23899,                 1.0444,              0.0007724,              0.0007724,              0.0007724
                     95,                0.56785,                0.37421,                0.98521,                0.99864,                      1,                  0.995,                0.91041,                0.43014,                 0.2441,                 1.0111,              0.0007592,              0.0007592,              0.0007592
                     96,                0.55641,                0.34829,                0.99902,                0.99863,                      1,                  0.995,                0.90842,                0.44019,                0.25587,                 1.0163,               0.000746,               0.000746,               0.000746
                     97,                0.56755,                0.33729,                 1.0071,                0.99862,                      1,                  0.995,                0.89805,                0.46998,                0.25462,                 1.0417,              0.0007328,              0.0007328,              0.0007328
                     98,                0.57427,                0.35097,                 1.0077,                0.99864,                      1,                  0.995,                0.88268,                0.48579,                0.26477,                 1.0605,              0.0007196,              0.0007196,              0.0007196
                     99,                0.57736,                0.34218,                 1.0059,                0.99863,                      1,                  0.995,                0.89533,                0.45624,                 0.2532,                 1.0466,              0.0007064,              0.0007064,              0.0007064
                    100,                0.55201,                0.33076,                0.98589,                0.99858,                      1,                  0.995,                0.86303,                0.49779,                0.27102,                 1.0773,              0.0006932,              0.0006932,              0.0006932
                    101,                 0.5594,                0.34003,                 1.0102,                0.99855,                      1,                  0.995,                0.88284,                0.47325,                0.26632,                 1.0666,                0.00068,                0.00068,                0.00068
                    102,                0.56773,                0.34462,                 1.0045,                 0.9986,                      1,                  0.995,                0.91376,                0.44362,                0.26102,                 1.0364,              0.0006668,              0.0006668,              0.0006668
                    103,                0.52814,                0.31941,                0.97265,                0.99864,                      1,                  0.995,                0.91837,                0.45878,                0.25683,                 1.0302,              0.0006536,              0.0006536,              0.0006536
                    104,                0.51364,                0.32034,                0.98472,                0.99864,                      1,                  0.995,                0.92519,                0.38793,                0.22563,                0.97374,              0.0006404,              0.0006404,              0.0006404
                    105,                0.52801,                0.31588,                0.98775,                0.99859,                      1,                  0.995,                0.91978,                0.44096,                0.22947,                 1.0112,              0.0006272,              0.0006272,              0.0006272
                    106,                0.55213,                0.31537,                0.99317,                0.99861,                      1,                  0.995,                0.90991,                0.46735,                0.24789,                 1.0337,               0.000614,               0.000614,               0.000614
                    107,                0.56177,                0.33791,                0.99744,                0.99863,                      1,                  0.995,                0.89131,                0.48837,                0.26638,                 1.0546,              0.0006008,              0.0006008,              0.0006008
                    108,                0.56355,                0.33658,                0.99668,                0.99866,                      1,                  0.995,                0.90773,                0.41195,                0.23133,                 1.0103,              0.0005876,              0.0005876,              0.0005876
                    109,                0.54588,                0.33345,                0.98612,                0.99868,                      1,                  0.995,                0.92698,                0.39302,                0.22487,                0.96719,              0.0005744,              0.0005744,              0.0005744
                    110,                 0.4941,                0.30054,                0.94438,                0.99867,                      1,                  0.995,                0.90367,                0.43047,                0.23876,                0.99884,              0.0005612,              0.0005612,              0.0005612
                    111,                 0.5114,                0.37796,                0.96879,                0.99865,                      1,                  0.995,                0.88396,                0.51795,                0.25457,                 1.0988,               0.000548,               0.000548,               0.000548
                    112,                0.58511,                0.45747,                 1.1398,                 0.9986,                      1,                  0.995,                0.89742,                0.46142,                0.23809,                 1.0418,              0.0005348,              0.0005348,              0.0005348
